Image_filename,Label
1.jpg,3
2.jpg,2
3.jpg,0
4.jpg,0
5.jpg,1
6.jpg,0
7.jpg,0
8.jpg,0
9.jpg,1
10.jpg,1
11.jpg,3
12.jpg,2
13.jpg,0
14.jpg,1
15.jpg,0
16.jpg,0
17.jpg,1
18.jpg,0
19.jpg,0
20.jpg,1
21.jpg,0
22.jpg,3
23.jpg,2
25.jpg,0
26.jpg,1
27.jpg,0
28.jpg,0
29.jpg,0
30.jpg,1
31.jpg,3
32.jpg,0
33.jpg,3
34.jpg,0
35.jpg,2
37.jpg,0
38.jpg,1
39.jpg,1
40.jpg,0
41.jpg,0
42.jpg,3
43.jpg,3
44.jpg,0
45.jpg,1
46.jpg,3
47.jpg,0
48.jpg,2
49.jpg,1
51.jpg,0
52.jpg,0
53.jpg,1
54.jpg,3
56.jpg,0
57.jpg,0
58.jpg,2
59.jpg,0
60.jpg,0
61.jpg,3
62.jpg,1
63.jpg,0
64.jpg,1
65.jpg,3
66.jpg,3
67.jpg,1
68.jpg,3
69.jpg,2
70.jpg,0
71.jpg,0
72.jpg,0
73.jpg,1
74.jpg,1
75.jpg,0
76.jpg,0
77.jpg,3
79.jpg,3
80.jpg,0
81.jpg,0
82.jpg,0
83.jpg,1
84.jpg,2
85.jpg,0
86.jpg,1
87.jpg,0
88.jpg,3
89.jpg,1
90.jpg,0
91.jpg,0
92.jpg,0
93.jpg,3
94.jpg,2
95.jpg,0
96.jpg,1
97.jpg,1
98.jpg,0
99.jpg,3
100.jpg,0
101.jpg,0
102.jpg,3
103.jpg,0
104.jpg,2
105.jpg,0
106.jpg,0
107.jpg,1
108.jpg,0
109.jpg,1
110.jpg,3
111.jpg,0
112.jpg,2
113.jpg,1
114.jpg,0
115.jpg,3
116.jpg,0
117.jpg,0
118.jpg,0
119.jpg,0
120.jpg,1
121.jpg,1
122.jpg,3
123.jpg,3
124.jpg,2
126.jpg,3
127.jpg,0
128.jpg,0
129.jpg,0
130.jpg,1
131.jpg,0
132.jpg,1
133.jpg,0
134.jpg,1
135.jpg,3
136.jpg,2
137.jpg,0
138.jpg,1
139.jpg,1
140.jpg,0
141.jpg,0
142.jpg,0
143.jpg,0
144.jpg,1
145.jpg,3
146.jpg,0
147.jpg,3
148.jpg,3
149.jpg,2
150.jpg,0
151.jpg,1
152.jpg,1
153.jpg,0
154.jpg,0
155.jpg,3
156.jpg,0
158.jpg,1
159.jpg,0
160.jpg,3
161.jpg,0
162.jpg,0
163.jpg,2
164.jpg,1
165.jpg,0
166.jpg,1
167.jpg,0
168.jpg,3
169.jpg,0
170.jpg,1
171.jpg,0
172.jpg,3
173.jpg,0
174.jpg,0
176.jpg,1
177.jpg,1
178.jpg,2
179.jpg,0
180.jpg,0
181.jpg,0
182.jpg,1
183.jpg,3
184.jpg,1
185.jpg,0
186.jpg,0
187.jpg,0
188.jpg,0
189.jpg,0
190.jpg,2
191.jpg,0
192.jpg,1
193.jpg,1
194.jpg,3
196.jpg,1
197.jpg,0
198.jpg,0
199.jpg,2
200.jpg,0
201.jpg,1
202.jpg,1
203.jpg,0
204.jpg,0
205.jpg,3
206.jpg,0
207.jpg,3
208.jpg,0
209.jpg,1
210.jpg,2
211.jpg,0
212.jpg,0
213.jpg,1
214.jpg,1
215.jpg,0
216.jpg,3
217.jpg,3
218.jpg,0
220.jpg,0
221.jpg,0
222.jpg,2
223.jpg,1
224.jpg,1
225.jpg,0
226.jpg,1
227.jpg,0
228.jpg,3
229.jpg,0
231.jpg,2
232.jpg,0
233.jpg,0
234.jpg,1
235.jpg,0
236.jpg,1
237.jpg,0
238.jpg,1
239.jpg,3
240.jpg,0
241.jpg,0
242.jpg,0
244.jpg,0
245.jpg,1
246.jpg,0
247.jpg,1
248.jpg,1
249.jpg,2
250.jpg,3
251.jpg,0
252.jpg,0
253.jpg,0
255.jpg,1
256.jpg,0
257.jpg,1
258.jpg,2
259.jpg,0
260.jpg,1
261.jpg,3
262.jpg,0
263.jpg,1
264.jpg,3
265.jpg,0
266.jpg,2
267.jpg,1
268.jpg,0
269.jpg,0
270.jpg,0
271.jpg,1
272.jpg,3
273.jpg,0
274.jpg,0
275.jpg,2
277.jpg,0
278.jpg,1
279.jpg,1
280.jpg,0
281.jpg,0
282.jpg,1
283.jpg,0
284.jpg,3
285.jpg,0
286.jpg,3
287.jpg,1
288.jpg,0
289.jpg,2
290.jpg,1
291.jpg,0
292.jpg,1
293.jpg,0
294.jpg,0
295.jpg,0
296.jpg,3
297.jpg,0
299.jpg,0
300.jpg,1
301.jpg,0
302.jpg,2
303.jpg,0
304.jpg,1
305.jpg,0
306.jpg,0
307.jpg,1
